시군구,2018,2019,2020,2021,2022
전국,5848594,6147516,6643354,7165788,7502350
서울특별시,1229421,1299787,1390701,1489893,1564187
부산광역시,404408,423227,455207,487362,511745
대구광역시,269903,284416,304543,326866,341667
인천광역시,275898,297865,324841,355657,376392
광주광역시,174614,182364,193948,212385,221464
대전광역시,195544,205165,228842,240932,249006
울산광역시,110236,116015,122848,133061,137096
세종특별자치시,35763,39078,43577,45706,50561
경기도,1197586,1290893,1406010,1543100,1634147
강원도,206295,208857,231371,245012,254441
충청북도,204109,215196,236208,252251,260948
충청남도,270497,280773,304973,327432,340741
전라북도,232587,238746,255269,276153,284613
전라남도,235062,238147,256633,274108,283429
경상북도,353702,360213,388791,416697,430969
경상남도,379719,391421,417737,450490,468772
제주특별자치도,73250,75353,81855,88683,92172
