"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),한식밀키트,한식밀키트,한식밀키트,한식밀키트,한식밀키트,한식밀키트,한식밀키트,한식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,한식밀키트,한식밀키트,한식밀키트,한식밀키트,한식밀키트,한식밀키트,한식밀키트,한식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,동양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트,서양식밀키트
"특성별(1)",특성별(2),구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화
"특성별(1)",특성별(2),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점)
"전체",소계,31.1,68.9,6.8,18.3,51.3,22.3,1.3,2.93,38.3,61.7,8.1,21.1,50.2,19.4,1.2,2.85,37.0,63.0,7.9,19.5,52.4,19.2,1.1,2.86,31.5,68.5,6.4,18.5,54.7,19.5,0.8,2.90,32.0,68.0,7.8,16.9,58.7,15.8,0.8,2.85,38.5,61.5,8.8,20.9,54.9,15.0,0.4,2.77
"거주지역",수도권,26.7,73.3,7.2,23.3,45.2,23.0,1.4,2.88,31.9,68.1,9.4,26.9,42.5,19.9,1.4,2.77,29.7,70.3,10.0,21.7,48.1,18.7,1.6,2.80,23.1,76.9,6.2,18.4,52.9,21.4,1.1,2.93,22.3,77.7,7.7,17.6,58.9,15.2,0.6,2.84,31.6,68.4,8.8,21.5,54.2,15.3,0.2,2.77
"거주지역",충청권,29.3,70.7,3.7,5.5,56.1,33.7,1.0,3.23,45.2,54.8,2.3,6.0,62.0,28.0,1.8,3.21,44.0,56.0,2.0,10.9,64.8,21.4,0.9,3.08,32.5,67.5,2.5,14.4,66.9,15.1,1.0,2.98,38.3,61.7,4.1,13.5,66.2,15.1,1.1,2.96,41.8,58.2,7.3,11.2,63.5,16.8,1.2,2.93
"거주지역",호남권,41.8,58.2,5.0,18.0,48.9,26.1,2.1,3.02,45.9,54.1,7.6,13.3,51.0,26.6,1.5,3.01,42.2,57.8,5.4,13.1,47.2,32.9,1.3,3.12,37.3,62.7,8.3,22.3,47.8,20.9,0.8,2.84,38.6,61.4,10.5,16.5,50.9,18.8,3.3,2.88,39.3,60.7,7.9,22.2,44.8,23.7,1.4,2.88
"거주지역",대경권,37.5,62.5,2.1,10.8,68.2,17.0,1.9,3.06,55.7,44.3,1.6,17.0,68.7,11.5,1.2,2.94,57.4,42.6,1.8,16.8,65.4,16.0,0.0,2.96,52.1,47.9,6.4,17.8,68.4,7.4,0.0,2.77,53.2,46.8,8.2,17.5,64.8,8.9,0.5,2.76,61.2,38.8,12.7,24.6,58.6,4.1,0.0,2.54
"거주지역",동남권,33.6,66.4,10.7,16.0,56.9,15.9,0.5,2.79,37.9,62.1,10.2,19.0,56.9,13.9,0.0,2.75,38.6,61.4,8.4,22.4,53.8,15.4,0.0,2.76,38.7,61.3,8.1,21.1,48.5,22.3,0.0,2.85,37.4,62.6,8.2,17.9,53.5,20.4,0.0,2.86,41.4,58.6,8.0,25.4,54.6,11.9,0.0,2.70
"거주지역",강원권,39.4,60.6,12.6,13.6,72.6,1.2,0.0,2.62,37.1,62.9,9.5,10.9,73.6,6.0,0.0,2.76,37.6,62.4,6.9,19.0,72.1,2.1,0.0,2.69,42.2,57.8,10.0,11.9,66.7,11.3,0.0,2.79,49.7,50.3,11.4,9.1,69.4,10.1,0.0,2.78,49.9,50.1,15.1,6.2,68.4,10.3,0.0,2.74
"행정구역",동,31.9,68.1,7.1,18.8,50.2,22.6,1.4,2.92,39.5,60.5,8.0,21.7,50.0,19.2,1.2,2.84,37.9,62.1,8.3,20.1,51.7,18.6,1.2,2.84,30.7,69.3,6.4,18.4,54.6,19.9,0.7,2.90,31.1,68.9,8.0,16.9,58.6,16.0,0.6,2.84,38.1,61.9,9.4,20.8,54.7,14.8,0.2,2.76
"행정구역",읍면,27.0,73.0,5.5,16.1,56.6,21.3,0.6,2.95,31.9,68.1,8.6,18.4,51.3,20.3,1.4,2.87,31.9,68.1,5.6,16.3,55.7,22.0,0.4,2.95,35.4,64.6,6.3,19.2,55.8,17.4,1.3,2.88,37.1,62.9,6.8,17.0,59.5,14.4,2.4,2.89,40.4,59.6,5.4,21.3,55.6,16.3,1.4,2.87
"가구원수",1인,33.1,66.9,5.7,20.5,50.0,21.9,1.9,2.94,41.9,58.1,10.0,20.3,50.5,18.3,0.9,2.80,39.6,60.4,8.2,19.2,50.1,21.0,1.5,2.88,33.4,66.6,8.9,15.5,55.6,18.8,1.2,2.88,34.2,65.8,8.0,14.6,59.4,16.8,1.1,2.88,39.4,60.6,8.2,20.6,49.1,21.5,0.7,2.86
