"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일
"특성별(1)",특성별(2),구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화
"특성별(1)",특성별(2),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점)
"전체",소계,29.5,70.5,5.3,18.7,51.2,23.2,1.5,2.97,20.4,79.6,8.9,21.2,51.3,18.0,0.7,2.81,38.4,61.6,11.2,21.3,54.4,12.6,0.6,2.70,30.0,70.0,7.7,17.8,52.5,19.6,2.5,2.91,25.0,75.0,9.7,20.5,54.2,14.8,0.9,2.77,36.5,63.5,12.4,21.8,54.5,10.4,0.9,2.66
"거주지역",수도권,26.0,74.0,7.2,22.7,46.4,22.1,1.7,2.88,18.7,81.3,13.4,29.7,42.6,13.4,0.9,2.59,36.6,63.4,17.1,26.6,45.6,9.8,1.0,2.51,25.8,74.2,9.2,18.4,51.8,16.2,4.4,2.88,26.7,73.3,12.1,24.9,49.9,12.1,1.0,2.65,32.6,67.4,12.5,23.1,51.5,11.4,1.4,2.66
"거주지역",충청권,32.6,67.4,2.5,14.3,54.9,26.3,2.1,3.11,15.2,84.8,0.8,8.5,62.8,26.5,1.5,3.19,41.3,58.7,4.5,9.7,67.0,18.8,0.0,3.00,31.1,68.9,7.3,17.6,58.6,16.4,0.0,2.84,22.8,77.2,6.6,14.0,62.7,16.7,0.0,2.89,33.9,66.1,13.6,16.3,64.0,6.1,0.0,2.63
"거주지역",호남권,32.6,67.4,5.0,15.0,46.9,29.8,3.4,3.12,21.5,78.5,4.4,16.1,46.0,33.1,0.4,3.09,36.8,63.2,5.3,16.5,55.4,22.0,0.8,2.97,27.4,72.6,6.3,23.8,49.4,19.5,0.9,2.85,21.5,78.5,7.6,21.4,48.9,19.3,2.9,2.89,37.1,62.9,15.8,17.1,51.3,14.3,1.5,2.69
"거주지역",대경권,43.8,56.2,2.0,6.8,68.3,21.7,1.2,3.13,31.6,68.4,2.9,6.1,70.6,20.3,0.0,3.08,58.3,41.7,1.9,7.4,76.1,14.6,0.0,3.03,45.3,54.7,2.9,7.6,57.0,32.5,0.0,3.19,27.5,72.5,3.6,7.7,66.9,21.2,0.6,3.08,60.7,39.3,4.1,13.7,75.3,6.9,0.0,2.85
"거주지역",동남권,26.2,73.8,2.9,16.9,55.2,25.0,0.0,3.02,21.0,79.0,7.7,12.9,61.7,17.7,0.0,2.90,31.7,68.3,5.8,19.9,62.2,12.1,0.0,2.81,31.4,68.6,5.7,17.5,48.2,28.6,0.0,3.00,17.5,82.5,8.7,19.4,56.1,15.8,0.0,2.79,33.7,66.3,10.1,28.6,50.6,10.6,0.0,2.62
