"행정구역별(읍면동)",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)",일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상,일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상,일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상,일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상,일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상
"전국",19979188,5848594,5445691,4203792,3396320,849167,182886,52738,20343188,6147516,5663330,4217736,3300114,801048,166866,46578,20926710,6643354,5864525,4200629,3271315,761417,147172,38298,21448463,7165788,6076549,4169956,3154286,715982,132665,33237,21773507,7502350,6260692,4184540,3010697,664666,120747,29815
"읍부",1890366,539706,546685,384036,305363,87773,20243,6560,1937519,563446,573991,390046,301488,83859,18831,5858,2021664,620899,600001,394057,303647,81207,16862,4991,2099836,674454,630227,397996,299269,78037,15476,4377,2096426,694083,641497,391425,280797,71222,13617,3785
"면부",1971564,684456,697826,315230,183374,63307,19435,7936,1968717,686531,711332,312768,175464,58445,17324,6853,2008345,721965,730954,308394,171509,54631,15296,5596,2025982,762310,739397,296349,160350,49467,13328,4781,2035906,784909,748329,290732,150725,45014,11964,4233
"동부",16117258,4624432,4201180,3504526,2907583,698087,143208,38242,16436952,4897539,4378007,3514922,2823162,658744,130711,33867,16896701,5300490,4533570,3498178,2796159,625579,115014,27711,17322645,5729024,4706925,3475611,2694667,588478,103861,24079,17641175,6023358,4870866,3502383,2579175,548430,95166,21797
"서울특별시",3839766,1229421,977469,807545,637385,147231,32059,8656,3896389,1299787,1005065,801819,614026,138596,29336,7760,3982290,1390701,1033901,792690,602791,130122,25770,6315,4046799,1489893,1056278,779155,573191,119907,23017,5358,4098818,1564187,1076409,776479,544807,111012,21153,4771
"부산광역시",1363608,404408,390452,290198,216430,49253,10220,2647,1377030,423227,400961,286644,208618,45849,9348,2383,1405037,455207,411455,282233,203769,42608,7874,1891,1431365,487362,423973,277325,194155,39823,7087,1640,1447825,511745,434269,274463,183071,36555,6271,1451
"대구광역시",957516,269903,260091,208858,170651,38593,7575,1845,968620,284416,267961,207953,163754,35926,6983,1627,985816,304543,276237,205048,159654,33131,5976,1227,1000931,326866,282982,201203,152384,31068,5301,1127,1010834,341667,289778,200752,144402,28535,4731,969
"인천광역시",1094749,275898,292339,252372,210146,50625,10505,2864,1120576,297865,305688,253332,203577,47920,9663,2531,1147200,324841,316387,251928,198528,44949,8440,2127,1183610,355657,332978,251670,191576,42353,7570,1806,1212731,376392,347241,255433,185024,40022,6983,1636
"광주광역시",578559,174614,150500,117002,101784,27922,5353,1384,587159,182364,156984,117401,98248,26302,4676,1184,599217,193948,162403,115978,97323,24613,4011,941,615693,212385,167494,114381,94006,23032,3596,799,623252,221464,172602,114340,89707,21141,3272,726
"대전광역시",602175,195544,153135,120714,100895,25359,5129,1399,609043,205165,158832,119508,96271,23465,4623,1179,631208,228842,164795,116989,93698,21883,4034,967,640085,240932,170037,115093,89199,20470,3519,835,646474,249006,175151,115255,84474,18688,3188,712
"울산광역시",431391,110236,114387,101535,83810,17498,3141,784,437094,116015,119926,100984,80479,16182,2805,703,444087,122848,123591,99739,79489,15447,2398,575,451432,133061,127915,97807,75839,14212,2154,444,453998,137096,132727,97651,71151,12978,1998,397
"세종특별자치시",119029,35763,27998,24599,23176,5986,1182,325,129664,39078,31236,26828,24944,6186,1096,296,139106,43577,33204,28307,26415,6328,1029,246,145295,45706,35376,29360,27225,6451,951,226,154019,50561,37708,30754,27481,6360,931,224
