"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,육류,육류,육류,육류,육류,육류,육류,육류,수산물,수산물,수산물,수산물,수산물,수산물,수산물,수산물,소스/양념류,소스/양념류,소스/양념류,소스/양념류,소스/양념류,소스/양념류,소스/양념류,소스/양념류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 밥류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,즉석 국류/찌개/탕류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,죽/스프류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,만두/피자류,육류,육류,육류,육류,육류,육류,육류,육류,수산물,수산물,수산물,수산물,수산물,수산물,수산물,수산물,소스/양념류,소스/양념류,소스/양념류,소스/양념류,소스/양념류,소스/양념류,소스/양념류,소스/양념류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류,즉석 떡볶이/면류
"특성별(1)",특성별(2),구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화
"특성별(1)",특성별(2),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점)
"전체",소계,17.8,82.2,2.6,12.2,56.0,27.5,1.7,3.14,20.0,80.0,3.6,16.9,43.9,34.6,1.1,3.13,29.0,71.0,8.0,23.5,50.7,16.2,1.6,2.80,5.2,94.8,3.5,14.4,49.1,30.6,2.4,3.14,13.1,86.9,4.0,17.4,51.3,26.0,1.2,3.03,26.7,73.3,5.5,20.2,55.0,18.0,1.3,2.89,16.8,83.2,4.8,18.4,51.5,23.9,1.4,2.99,16.9,83.1,5.1,18.7,50.1,24.1,2.1,2.99,12.0,88.0,3.8,7.2,60.5,27.3,1.1,3.15,14.6,85.4,3.6,12.8,53.2,28.6,1.7,3.12,30.4,69.6,11.1,21.0,53.0,14.4,0.4,2.72,5.7,94.3,3.7,12.0,52.4,30.3,1.6,3.14,20.5,79.5,8.7,17.9,56.9,15.7,0.9,2.82,33.9,66.1,10.2,23.0,52.4,13.2,1.2,2.72,11.6,88.4,6.3,19.2,58.3,15.6,0.7,2.85,17.1,82.9,6.2,16.4,58.9,17.1,1.4,2.91
"거주지역",수도권,13.0,87.0,2.3,14.0,47.8,33.0,3.0,3.21,14.6,85.4,3.1,16.5,39.7,39.6,1.2,3.19,25.8,74.2,9.0,27.0,44.2,17.7,2.1,2.77,5.5,94.5,4.7,15.8,46.1,31.7,1.8,3.10,14.0,86.0,3.9,20.0,45.9,29.2,1.0,3.04,25.9,74.1,6.2,24.0,49.5,18.5,1.8,2.86,14.3,85.7,5.1,19.4,46.1,27.4,2.0,3.02,14.6,85.4,5.4,20.1,44.3,27.4,2.7,3.02,7.2,92.8,3.8,5.2,52.2,37.1,1.7,3.28,8.5,91.5,2.5,9.9,52.7,32.5,2.4,3.22,28.7,71.3,13.6,19.7,48.0,18.1,0.6,2.73,4.2,95.8,3.8,12.9,48.0,33.5,1.7,3.16,16.2,83.8,9.9,18.0,52.7,18.3,1.0,2.82,33.3,66.7,12.1,23.1,47.4,15.7,1.7,2.72,10.6,89.4,6.0,21.3,53.0,18.7,1.0,2.87,11.9,88.1,7.3,16.2,56.5,17.3,2.6,2.92
"거주지역",충청권,17.6,82.4,2.5,3.9,71.4,21.3,0.9,3.14,15.6,84.4,1.2,6.6,44.1,47.8,0.3,3.39,26.3,73.7,5.7,14.4,63.1,14.4,2.3,2.93,3.0,97.0,0.2,4.3,49.8,38.5,7.2,3.48,14.5,85.5,1.5,8.3,54.1,32.8,3.3,3.28,25.1,74.9,2.6,17.1,63.4,15.8,1.2,2.96,17.1,82.9,2.0,12.2,53.3,31.8,0.7,3.17,17.4,82.6,1.9,6.5,57.5,31.7,2.4,3.26,11.5,88.5,2.7,4.0,79.8,12.1,1.4,3.06,13.2,86.8,3.2,10.0,63.3,21.2,2.2,3.09,22.9,77.1,5.3,14.3,72.6,6.8,0.9,2.84,5.2,94.8,1.4,6.0,61.8,27.8,3.1,3.25,26.1,73.9,4.5,20.0,62.6,12.9,0.0,2.84,37.7,62.3,8.5,29.0,58.7,3.8,0.0,2.58,9.2,90.8,2.4,15.9,67.4,14.4,0.0,2.94,15.3,84.7,1.7,11.9,75.0,11.4,0.0,2.96
"거주지역",호남권,22.8,77.2,5.5,16.0,50.8,27.3,0.4,3.01,29.7,70.3,8.2,29.3,38.2,20.4,3.9,2.82,32.7,67.3,8.6,26.5,41.1,21.3,2.5,2.83,9.0,91.0,4.1,20.1,39.9,31.2,4.7,3.12,15.5,84.5,5.3,18.9,44.6,28.6,2.5,3.04,28.7,71.3,8.9,16.0,53.1,19.7,2.3,2.90,24.2,75.8,7.4,18.5,48.9,22.5,2.7,2.94,23.3,76.7,7.7,28.1,42.8,18.5,2.9,2.81,13.6,86.4,6.6,13.7,63.9,15.8,0.0,2.89,21.8,78.2,8.6,19.9,40.7,29.6,1.1,2.95,28.0,72.0,9.7,29.5,45.9,14.9,0.0,2.66,8.9,91.1,4.7,22.3,45.1,26.0,2.0,2.98,25.2,74.8,9.4,15.1,52.3,20.7,2.5,2.92,27.1,72.9,9.2,24.0,45.6,19.0,2.3,2.81,9.5,90.5,12.6,20.7,45.7,19.2,1.8,2.77,24.7,75.3,5.4,27.3,46.4,20.3,0.6,2.83
"거주지역",대경권,37.5,62.5,0.4,4.4,77.3,17.9,0.0,3.13,40.2,59.8,0.5,13.5,68.9,16.1,1.0,3.03,41.3,58.7,5.2,15.1,68.2,11.4,0.0,2.86,3.4,96.6,0.8,8.7,60.4,28.6,1.4,3.21,10.2,89.8,1.7,10.8,66.8,19.9,0.8,3.07,36.4,63.6,0.8,13.0,70.6,15.6,0.0,3.01,26.3,73.7,1.6,11.0,73.6,13.3,0.5,3.00,25.7,74.3,1.3,8.8,70.9,18.1,0.9,3.08,31.8,68.2,3.9,5.6,74.7,15.9,0.0,3.03,37.0,63.0,4.5,13.6,65.3,16.1,0.5,2.95,50.2,49.8,13.6,21.1,58.1,7.2,0.0,2.59,1.4,98.6,1.9,4.2,62.9,29.8,1.2,3.24,15.9,84.1,3.0,12.2,74.0,10.9,0.0,2.93,46.0,54.0,4.9,20.4,70.6,3.5,0.4,2.74,22.7,77.3,5.2,8.0,82.1,4.7,0.0,2.86,28.2,71.8,5.0,8.2,74.0,12.8,0.0,2.94
"거주지역",동남권,15.8,84.2,2.5,13.6,62.8,21.2,0.0,3.03,19.9,80.1,5.2,19.9,44.8,30.1,0.0,3.00,31.6,68.4,7.6,22.2,57.2,12.9,0.0,2.75,3.0,97.0,3.3,15.6,54.9,25.5,0.7,3.05,9.9,90.1,7.1,17.9,58.8,16.2,0.0,2.84,25.2,74.8,5.4,17.6,55.8,21.2,0.0,2.93,13.2,86.8,5.1,23.3,54.0,17.6,0.0,2.84,16.0,84.0,6.5,21.9,53.4,18.2,0.0,2.83,13.1,86.9,1.9,13.7,63.8,20.4,0.3,3.04,16.2,83.8,3.3,21.4,47.9,27.4,0.0,3.00,30.3,69.7,7.5,27.5,53.4,11.6,0.0,2.69,11.0,89.0,4.4,11.7,56.9,26.4,0.5,3.07,29.4,70.6,10.7,24.2,56.1,8.6,0.4,2.64,30.7,69.3,8.6,21.3,56.9,13.1,0.0,2.75,10.1,89.9,6.4,21.0,62.5,10.2,0.0,2.76,23.2,76.8,5.4,20.3,51.8,22.5,0.0,2.91
