year,항목,소계,수도권,충청권,호남권,대경권,동남권,강원권,1인,2인,3인,4인이상,남성,여성,20대,30대,40대,50대,60대이상,200만원미만,200~400만원미만,400~600만원미만,600만원이상
2018,재료를 사서 조리하는 것보다 비용이 적게 들어서,23.1,26.3,10.1,23.3,21.6,24.4,16.7,25.1,22.3,21.0,23.6,22.2,25.3,25.5,22.4,22.2,23.6,23.5,23.1,23.6,21.8,25.1
2018,간편식이 맛있어서,15.2,13.9,16.0,19.2,20.9,13.3,11.9,15.7,15.5,15.0,12.4,15.3,15.2,14.9,17.7,13.3,16.1,14.6,17.1,15.3,14.4,15.1
2018,직접 조리할 줄 몰라서,6.8,6.6,9.6,9.0,6.7,4.6,3.7,9.4,7.2,5.4,4.0,6.2,8.2,9.6,8.9,5.7,5.7,6.7,8.0,7.8,5.6,5.4
2018,직접 조리할 시간이 없어서,13.4,11.7,16.7,15.6,14.6,14.6,11.1,11.7,12.7,14.2,14.2,14.1,11.8,11.6,12.7,16.5,12.8,12.0,11.4,12.0,14.4,18.5
2018,조리하기 번거롭고 귀찮아서,19.3,19.7,19.8,18.1,16.2,19.7,24.0,18.6,19.7,21.1,20.4,19.1,19.7,18.5,17.8,18.6,20.5,20.0,18.9,19.8,19.1,18.1
2018,간편식으로 다양한 음식을 맛 볼 수 있어서,10.5,10.9,13.3,5.8,11.3,9.8,13.2,9.5,10.6,11.0,12.2,10.9,9.6,9.4,11.0,11.5,9.9,10.3,8.2,10.8,12.2,7.5
2018,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,6.0,5.9,7.7,5.3,5.1,6.1,4.7,5.6,5.9,6.5,4.5,5.9,6.0,6.8,4.4,6.6,5.6,6.5,6.6,5.4,6.2,6.3
2018,보관성/ 휴대성이 좋아서,5.0,4.4,6.0,3.3,3.3,6.6,14.8,4.1,5.4,5.3,8.4,5.5,3.8,3.6,4.2,5.2,5.0,5.8,6.0,4.7,5.4,3.5
2018,균형 잡힌 영양소를 섭취할 수 있어서,0.6,0.6,0.7,0.4,0.4,1.0,0.0,0.3,0.8,0.7,0.4,0.7,0.4,0.0,0.8,0.4,0.8,0.7,0.7,0.5,0.8,0.5
2018,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,재료를 사서 조리하는 것보다 비용이 적게 들어서,17.1,16.1,16.5,14.3,20.1,19.6,22.7,17.9,17.6,14.0,11.7,15.9,19.8,17.2,15.3,17.3,19.9,17.4,16.1,15.6,19.3,17.7
2019,간편식이 맛있어서,14.8,15.6,10.6,17.1,15.9,14.6,6.2,14.2,12.1,17.7,11.2,15.3,13.7,14.5,14.2,16.3,14.0,14.5,16.0,13.7,16.5,13.7
2019,직접 조리할 줄 몰라서,7.4,8.3,6.6,9.0,7.0,4.8,3.3,10.4,6.0,6.0,3.2,6.9,8.4,10.6,7.7,6.7,6.5,4.1,7.6,9.0,7.1,5.8
2019,직접 조리할 시간이 없어서,16.7,17.7,16.4,24.0,13.5,13.0,3.7,14.0,17.4,18.1,13.1,17.0,16.0,16.5,17.9,15.9,16.3,14.8,14.6,16.2,16.0,19.2
2019,조리하기 번거롭고 귀찮아서,21.6,20.1,23.2,17.4,21.6,25.4,38.6,24.3,22.7,17.9,16.2,21.3,22.5,24.9,21.7,22.0,18.5,22.0,22.2,25.5,20.0,17.7
2019,간편식으로 다양한 음식을 맛 볼 수 있어서,12.3,12.1,10.3,11.2,15.4,13.5,10.4,8.6,14.3,14.4,5.7,13.6,9.1,7.3,13.8,12.9,12.4,11.7,10.4,11.1,12.6,14.3
2019,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,4.7,5.6,6.3,2.8,3.1,3.4,2.7,5.0,4.0,6.4,1.6,4.5,5.3,4.5,4.2,4.6,5.6,5.6,5.3,4.0,3.8,6.0
2019,보관성/ 휴대성이 좋아서,4.7,3.7,9.9,2.7,2.6,5.5,11.5,4.6,4.8,4.3,3.8,4.8,4.5,4.0,4.1,3.8,6.0,9.1,7.4,4.0,4.5,3.7
2019,균형 잡힌 영양소를 섭취할 수 있어서,0.8,0.9,0.2,1.5,0.6,0.2,0.3,0.8,1.0,1.0,0.1,0.8,0.7,0.4,1.2,0.3,0.8,0.8,0.4,0.9,0.2,1.8
2019,기타,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
2020,재료를 사서 조리하는 것보다 비용이 적게 들어서,17.6,17.8,13.9,15.8,16.4,21.1,19.3,17.8,18.2,16.8,11.7,16.8,19.4,22.7,15.7,17.2,17.2,19.2,20.4,18.1,17.2,14.8
2020,간편식이 맛있어서,16.4,17.3,12.2,19.1,22.8,11.8,8.8,16.3,19.4,13.9,8.8,16.4,16.4,16.6,16.0,17.7,15.6,15.1,14.0,16.6,16.4,18.7
2020,직접 조리할 줄 몰라서,6.2,6.3,4.7,9.9,6.0,5.4,2.3,8.1,6.3,5.8,1.3,6.3,5.9,9.7,7.3,5.0,4.2,4.3,7.7,6.6,5.6,6.6
2020,직접 조리할 시간이 없어서,15.4,14.7,23.0,16.5,17.1,11.7,9.3,16.2,13.0,14.9,12.5,15.3,15.7,14.2,17.0,15.0,15.2,12.3,14.8,14.2,15.8,15.5
2020,조리하기 번거롭고 귀찮아서,20.3,15.8,28.1,20.8,23.0,25.2,32.2,20.9,20.4,19.5,17.1,20.5,20.1,18.3,20.9,18.9,22.9,19.9,20.8,22.4,20.0,19.0
2020,간편식으로 다양한 음식을 맛 볼 수 있어서,10.8,11.1,10.1,10.7,11.0,10.9,7.1,8.8,10.1,13.3,8.1,11.6,8.9,8.3,10.5,11.6,11.7,11.3,8.8,10.0,11.5,12.0
2020,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,7.2,11.3,4.7,2.8,1.9,2.2,7.0,7.2,6.4,8.7,4.0,6.8,8.1,6.9,6.6,8.6,6.2,9.0,7.4,7.0,8.0,6.7
2020,보관성/ 휴대성이 좋아서,5.5,5.2,2.4,4.1,1.8,10.5,12.9,4.2,5.7,6.2,3.0,5.7,4.8,2.3,5.4,5.4,6.7,8.5,5.5,4.6,4.9,6.2
2020,균형 잡힌 영양소를 섭취할 수 있어서,0.6,0.6,0.9,0.3,0.0,1.2,0.0,0.6,0.6,0.8,0.1,0.5,0.7,1.0,0.7,0.6,0.2,0.3,0.6,0.6,0.6,0.4
2020,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
2021,재료를 사서 조리하는 것보다 비용이 적게 들어서,19.7,20.7,16.3,21.4,24.6,17.7,2.8,23.0,17.7,20.9,5.8,19.0,21.2,19.2,20.7,17.8,19.6,20.9,24.7,0.0,0.0,19.6
2021,간편식이 맛있어서,12.7,9.3,11.4,20.6,15.3,18.6,7.1,10.6,14.7,11.1,4.7,13.2,11.7,7.2,13.7,14.0,12.1,13.3,11.6,0.0,0.0,14.6
2021,직접 조리할 줄 몰라서,9.3,10.4,10.9,9.5,5.1,8.1,4.5,11.0,7.9,8.6,3.3,9.3,9.3,13.2,10.7,8.8,10.8,6.2,9.6,0.0,0.0,9.8
2021,직접 조리할 시간이 없어서,12.7,11.5,14.8,16.0,12.4,13.1,11.1,12.2,12.4,13.6,4.2,12.6,12.8,13.4,13.4,14.9,12.0,10.7,10.3,0.0,0.0,13.3
2021,조리하기 번거롭고 귀찮아서,25.9,27.1,27.9,15.9,26.5,23.1,48.1,28.6,28.0,24.0,7.4,24.9,28.0,32.1,25.2,22.3,24.5,28.9,29.0,0.0,0.0,21.6
2021,간편식으로 다양한 음식을 맛 볼 수 있어서,9.1,9.2,10.0,6.8,10.0,7.9,15.7,7.0,8.8,9.7,3.7,9.5,8.2,6.5,8.5,10.9,9.2,8.7,5.7,0.0,0.0,10.3
2021,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,6.6,7.5,6.0,4.7,3.4,7.4,6.8,4.5,6.4,7.9,2.6,7.2,5.2,5.8,5.1,7.4,7.1,6.6,5.8,0.0,0.0,7.4
2021,보관성/ 휴대성이 좋아서,3.2,3.6,2.7,2.6,2.4,3.0,3.9,2.2,3.0,3.5,1.4,3.4,2.6,1.2,2.5,3.0,4.1,3.6,2.8,0.0,0.0,3.0
2021,균형 잡힌 영양소를 섭취할 수 있어서,0.8,0.7,0.1,2.5,0.4,1.0,0.0,0.9,1.2,0.6,0.2,0.7,1.0,1.4,0.2,0.9,0.6,1.1,0.5,0.0,0.0,0.5
2021,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,재료를 사서 조리하는 것보다 비용이 적게 들어서,18.6,18.1,16.0,17.6,28.7,17.7,13.3,22.9,17.6,15.7,6.4,15.1,26.2,17.8,21.5,19.3,15.8,18.8,19.3,0.0,0.0,14.1
2022,간편식이 맛있어서,13.6,10.5,13.9,18.3,15.9,17.7,21.1,13.2,15.2,13.0,4.2,13.8,13.4,15.1,11.0,14.7,13.3,14.8,15.5,0.0,0.0,12.8
2022,직접 조리할 줄 몰라서,9.3,8.9,10.3,15.8,4.4,8.7,9.2,9.1,8.3,10.5,3.2,10.2,7.5,16.8,10.0,9.3,10.2,6.7,5.3,0.0,0.0,9.8
2022,직접 조리할 시간이 없어서,13.0,12.3,17.9,14.3,9.1,13.9,9.6,13.4,12.1,13.2,4.5,13.9,11.0,14.3,16.2,12.7,13.6,9.9,11.2,0.0,0.0,16.3
2022,조리하기 번거롭고 귀찮아서,23.5,24.4,23.6,20.4,29.9,18.0,27.2,25.0,23.1,23.4,7.6,24.1,22.4,20.8,24.8,22.0,23.1,24.7,25.4,0.0,0.0,24.5
2022,간편식으로 다양한 음식을 맛 볼 수 있어서,10.7,11.9,10.9,7.0,9.4,10.3,10.8,8.8,10.5,12.0,3.9,11.7,8.8,10.8,9.2,11.2,12.1,10.3,8.8,0.0,0.0,12.4
2022,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,5.0,5.7,3.3,4.3,1.2,7.4,2.8,2.7,5.5,5.3,2.1,4.9,5.2,2.7,2.9,6.0,6.4,5.0,3.3,0.0,0.0,6.4
2022,보관성/ 휴대성이 좋아서,5.6,7.5,4.0,1.8,1.4,6.2,5.4,3.9,7.4,6.4,1.3,6.1,4.6,1.4,4.4,4.3,5.0,8.9,10.3,0.0,0.0,3.7
2022,균형 잡힌 영양소를 섭취할 수 있어서,0.5,0.7,0.3,0.6,0.1,0.2,0.4,1.2,0.4,0.4,0.0,0.3,0.9,0.4,0.1,0.6,0.4,0.8,0.9,0.0,0.0,0.0
2022,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
