year,행정구역별,전국,읍부,면부,동부,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2018,합계,19979188,1890366,1971564,16117258,3839766,1363608,957516,1094749,578559,602175,431391,119029,4751497,628484,640978,851124,732980,737406,1094534,1306394,248998
2018,1인,5848594,539706,684456,4624432,1229421,404408,269903,275898,174614,195544,110236,35763,1197586,206295,204109,270497,232587,235062,353702,379719,73250
2018,2인,5445691,546685,697826,4201180,977469,390452,260091,292339,150500,153135,114387,27998,1213259,193105,183501,247706,220032,240651,340340,372556,68170
2018,3인,4203792,384036,315230,3504526,807545,290198,208858,252372,117002,120714,101535,24599,1084338,117713,123042,160052,136476,132049,207353,271707,48239
2019,합계,20343188,1937519,1968717,16436952,3896389,1377030,968620,1120576,587159,609043,437094,129664,4907660,633942,654713,864102,738307,741026,1102934,1321213,253716
2019,1인,6147516,563446,686531,4897539,1299787,423227,284416,297865,182364,205165,116015,39078,1290893,208857,215196,280773,238746,238147,360213,391421,75353
2019,2인,5663330,573991,711332,4378007,1005065,400961,267961,305688,156984,158832,119926,31236,1284977,200035,191655,256360,226681,245725,352260,387575,71409
2019,3인,4217736,390046,312768,3514922,801819,286644,207953,253332,117401,119508,100984,26828,1106151,117416,123239,160674,135931,132242,206493,272119,49002
2020,합계,20926710,2021664,2008345,16896701,3982290,1405037,985816,1147200,599217,631208,444087,139106,5098431,661039,678922,892222,755575,761518,1131819,1350155,263068
2020,1인,6643354,620899,721965,5300490,1390701,455207,304543,324841,193948,228842,122848,43577,1406010,231371,236208,304973,255269,256633,388791,417737,81855
2020,2인,5864525,600001,730954,4533570,1033901,411455,276237,316387,162403,164795,123591,33204,1350139,206755,198840,264909,233334,251506,363061,399700,74308
2020,3인,4200629,394057,308394,3498178,792690,282233,205048,251928,115978,116989,99739,28307,1119823,117504,122347,159754,134414,131372,202539,270061,49903
2021,합계,21448463,2099836,2025982,17322645,4046799,1431365,1000931,1183610,615693,640085,451432,145295,5290662,674728,695611,915634,772471,777358,1156645,1378982,271162
2021,1인,7165788,674454,762310,5729024,1489893,487362,326866,355657,212385,240932,133061,45706,1543100,245012,252251,327432,276153,274108,416697,450490,88683
2021,2인,6076549,630227,739397,4706925,1056278,423973,282982,332978,167494,170037,127915,35376,1422997,213512,207434,274600,239444,258205,373382,412850,77092
2021,3인,4169956,397996,296349,3475611,779155,277325,201203,251670,114381,115093,97807,29360,1133841,115765,120775,158175,131542,129010,198441,266302,50111
2022,합계,21773507,2096426,2035906,17641175,4098818,1447825,1010834,1212731,623252,646474,453998,154019,5406963,684895,704864,931370,777680,784645,1166306,1392608,276225
2022,1인,7502350,694083,784909,6023358,1564187,511745,341667,376392,221464,249006,137096,50561,1634147,254441,260948,340741,284613,283429,430969,468772,92172
2022,2인,6260692,641497,748329,4870866,1076409,434269,289778,347241,172602,175151,132727,37708,1480862,219958,214022,284304,245506,262746,381459,425720,80230
2022,3인,4184540,391425,290732,3502383,776479,274463,200752,255433,114340,115255,97651,30754,1152760,115248,121056,159362,130358,128459,196804,264918,50448
2018,4인이상,4481111,419939,274052,3787120,825331,278550,218664,274140,136443,132782,105233,30669,1256314,111371,130326,172869,143885,129644,193139,282412,59339
2019,4인이상,4314606,410036,258086,3646484,789718,266198,208290,263691,130410,125538,100169,32522,1225639,107634,124623,166295,136949,124912,183968,270098,57952
2020,4인이상,4218202,406707,247032,3564463,764998,256142,199988,254044,126888,120582,97909,34018,1222459,105409,121527,162586,132558,122007,177428,262657,57002
2021,4인이상,4036170,397159,227926,3411085,721473,242705,189880,243305,121433,114023,92649,34853,1190724,100439,115151,155427,125332,116035,168125,249340,55276
2022,4인이상,3825925,369421,211936,3244568,681743,227348,178637,233665,114846,107062,86524,34996,1139194,95248,108838,146963,117203,110011,157074,233198,53375
